DxCat,Description,Significance
CVS01,Aneurysm: Abdominal,High
CVS02,Aneurysm: Thoracic,High
CVS03,Anomaly: Patent Ductus Arteriosus,High
CVS04,Aortic Regurgitation,High
CVS05,Aortic Stenosis,High
CVS06,Arrhythmias,High
CVS07,Cardiomyopathies,High
CVS08,Conduction Disorders,High
CVS09,Congestive Heart Failure,High
CVS10,CAD1,High
CVS11,CAD2,High
CVS12,Digoxin Toxicity,High
CVS14,Infective Endocarditis,High
CVS15,Mitral Regurgitation,High
CVS16,Mitral Stenosis,High
CVS17,Periarteritis Nodosa,High
CVS18,Pericarditis: Chronic,High
CVS19,Pericarditis: Viral or Traumatic,High
CVS21,Thromboangiitis Obliterans,High
CVS22,Thrombophlebitis,High
CVS23,"Tibial, lliac, Femoral, or Popliteal Artery Disease",High
CVS80,"Neoplasm, Benign: Cardiovascular System",High
CVS81,"Neoplasm, Malignant: Cardiovascular",High
CVS83,Other Cardiac Conditions,High
CVS86,Other Diseases of Arteries,High
CVS87,Other Diseases of Veins,High
CVS88,Other Disorders of Pulmonary Circulation,High
DEN05,"Neoplasm, Malignant: Hypopharynx",High
DEN06,"Neoplasm, Malignant: Oral Cavity",High
DEN07,"Neoplasm, Malignant: Oropharynx",High
DEN08,"Neoplasm, Malignant: Salivary Glands and Mandible",High
END01,Adrenal Insufficiency,High
END03,Diabetes Insipidus,High
END04,Diabetes Mellitus Type 1,High
END05,"Diabetes Mellitus Type 2, Unsp Types & Hyperglycemic States",High
END07,Hyperthyroidism,High
END10,Monotropic Hormone Deficiency,High
END13,"Neoplasm, Benign: Primary Hyperaldosteronism",High
END14,"Neoplasm, Malignant: Thyroid",High
END15,Neoplasm: Pheochromocytoma,High
END16,Primary Amyloidosis,High
END80,"Neoplasm, Benign: Other Endocrine System",High
END81,"Neoplasm, Malignant: Other Endocrine System",High
ENT03,Diphtheria,High
ENT10,"Neoplasm, Benign: Acoustic Neuroma",High
ENT13,"Neoplasm, Malignant: Larynx, Glottis",High
ENT14,"Neoplasm, Malignant: Larynx, Subglottic",High
ENT15,"Neoplasm, Malignant: Larynx, Supraglottic",High
ENT16,"Neoplasm, Malignant: Nasopharyngeal",High
ENT17,"Neoplasm, Malignant: Sinuses",High
EYE11,"Fracture: Orbit, Blow-Out",High
EYE25,"Neoplasm, Malignant: Ocular Melanoma",High
EYE26,"Neoplasm, Malignant: Retinoblastoma",High
EYE81,"Neoplasm, Malignant: Other Eye and Periocular",High
GEN01,Downs Syndrome,High
GIS01,Alpha 1-Antitrypsin Deficiency,High
GIS02,Amebiasis,High
GIS04,Anorectal Suppuration,High
GIS05,Appendicitis,High
GIS08,Clostridium difficile Colitis,High
GIS09,Crohns Disease,High
GIS10,Diverticular Disease,High
GIS12,Food Poisoning: Other Organisms,High
GIS13,Food Poisoning: S. aureus,High
GIS15,Foreign Body: Esophagus,High
GIS22,Intussusception,High
GIS24,Malabsorption from Blind Loop Syndrome,High
GIS27,"Neoplasm, Malignant: Colon and Rectum",High
GIS28,"Neoplasm, Malignant: Esophagus",High
GIS29,"Neoplasm, Malignant: Small Bowel",High
GIS30,"Neoplasm, Malignant: Stomach",High
GIS31,Peptic Ulcer Disease,High
GIS32,Salmonellosis,High
GIS33,Shigellosis,High
GIS36,Typhoid Fever,High
GIS37,Ulcerative Colitis,High
GIS38,Vascular Insufficiency of the Bowels,High
GIS80,Complications of Gastrointestinal Treatment,High
GIS83,"Neoplasm, Malignant: Other Gastrointestinal System",High
GIS85,Other Gastrointestinal Disorders,High
