HCPC,ProcGRP,csc,atg,atg_priority,procgrp_intensity,hcpcs_intensity,imputed_rel_wgt,status_ind,procgrp_ver,release
"0001F","4445",OTHER,OTHER,9,0,0,0,E,2016,2
"0001M","2305",LABS,LABS,6,2.401036158,0,0,E,2016,2
"0001T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,,2016,2
"0002F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0002M","2305",LABS,LABS,6,2.401036158,0,0,E,2016,2
"0002T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,,2016,2
"0003F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0003M","2305",LABS,LABS,6,2.401036158,0,0,E,2016,2
"0003T","4045",DIAG RAD,RAD DIAG,5,6.073809415,20310,0.2031,S,2016,2
"0004F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0004M","2305",LABS,LABS,6,2.401036158,0,0,A,2016,2
"0005F","4445",OTHER,OTHER,9,0,0,0,E,2016,2
"0005M","2305",LABS,LABS,6,2.401036158,0,0,,2016,2
"0005T","4600",CARDIOLOGY,INVAS MAJOR,1,136.3942313,0,0,,2016,2
"0006F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0006M","2305",LABS,LABS,6,2.401036158,0,0,A,2016,2
"0006T","4610",CARDIOLOGY,ADDITIONAL,9,28.51459679,0,0,,2016,2
"0007F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0007M","2305",LABS,LABS,6,2.401036158,0,0,A,2016,2
"0007T","4600",CARDIOLOGY,INVAS MAJOR,1,136.3942313,0,0,,2016,2
"0008F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0008M","3220",MISC,MEDIC DIAG,5,0.341474601,4637780,46.3778,A,2016,2
"0008T","4765",GASTRO,INVAS MINOR,3,11.02973676,2405250,24.0525,T,2016,2
"0009F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0009M","2305",LABS,LABS,6,2.401036158,847010,8.4701,A,2016,2
"0009T","1372",OB/GYN,SURG MAJOR,1,49.60421053,0,0,,2016,2
"00100","0125",ANESTHESIA,ANESTHESIA,9,0,0.048,0,N,2016,2
"00102","0125",ANESTHESIA,ANESTHESIA,9,0,0.0502,0,N,2016,2
"00103","0125",ANESTHESIA,ANESTHESIA,9,0,0.0638,0,N,2016,2
"00104","0125",ANESTHESIA,ANESTHESIA,9,0,0.0231,0,N,2016,2
"0010F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"0010M","3220",MISC,MEDIC DIAG,5,0.341474601,0,0,E,2016,2
"0010T","2280",LABS,LABS,6,0.22253875,0,0,A,2016,2
"0011F","4445",OTHER,OTHER,9,0,0,0,,2016,2
"00120","0125",ANESTHESIA,ANESTHESIA,9,0,0.0606,0,N,2016,2
"00124","0125",ANESTHESIA,ANESTHESIA,9,0,0.0692,0,N,2016,2
"00126","0125",ANESTHESIA,ANESTHESIA,9,0,0.0377,0,N,2016,2
"0012F","4445",OTHER,OTHER,9,0,0,0,E,2016,2
"0012T","0380",ORTHO,SURG MAJOR,1,33.26575796,0,0,,2016,2
"0013T","0380",ORTHO,SURG MAJOR,1,33.26575796,0,0,,2016,2
"00140","0125",ANESTHESIA,ANESTHESIA,9,0,0.055,0,N,2016,2
"00142","0125",ANESTHESIA,ANESTHESIA,9,0,0.0378,0,N,2016,2
"00144","0125",ANESTHESIA,ANESTHESIA,9,0,0.0747,0,N,2016,2
"00145","0125",ANESTHESIA,ANESTHESIA,9,0,0.0562,0,N,2016,2
"00147","0125",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00148","0125",ANESTHESIA,ANESTHESIA,9,0,0.0603,0,N,2016,2
"0014F","4445",OTHER,OTHER,9,0,0,0,E,2016,2
"0014T","4480",ORTHO,SURG MAJOR,1,33.01625298,0,0,,2016,2
