NDCNUM,GENERID,Prodname,Category
00378120001,100002,ACEBUTOLOL HCL,Maintenance
00904617360,100002,ACEBUTOLOL HCL,Maintenance
42291010190,100002,ACEBUTOLOL HCL,Maintenance
50268005011,100002,ACEBUTOLOL HCL,Maintenance
50268005015,100002,ACEBUTOLOL HCL,Maintenance
52544043701,100002,ACEBUTOLOL HCL,Maintenance
54868552000,100002,ACEBUTOLOL HCL,Maintenance
58016030000,100002,ACEBUTOLOL,Maintenance
58016030030,100002,ACEBUTOLOL,Maintenance
58016030060,100002,ACEBUTOLOL,Maintenance
58016030090,100002,ACEBUTOLOL,Maintenance
63629387101,100002,ACEBUTOLOL HCL,Maintenance
65162066910,100002,ACEBUTOLOL HCL,Maintenance
67857070001,100002,SECTRAL,Maintenance
00378140001,100003,ACEBUTOLOL HCL,Maintenance
42291010290,100003,ACEBUTOLOL HCL,Maintenance
50268005111,100003,ACEBUTOLOL HCL,Maintenance
50268005115,100003,ACEBUTOLOL HCL,Maintenance
52544043801,100003,ACEBUTOLOL HCL,Maintenance
65162067010,100003,ACEBUTOLOL HCL,Maintenance
67857070101,100003,SECTRAL,Maintenance
23490500707,100014,ACETAZOLAMIDE,Maintenance
51672402201,100014,ACETAZOLAMIDE,Maintenance
54569438701,100014,ACETAZOLAMIDE,Maintenance
54868281900,100014,ACETAZOLAMIDE,Maintenance
55045170304,100014,ACETAZOLAMIDE,Maintenance
55289072006,100014,ACETAZOLAMIDE,Maintenance
55289072012,100014,ACETAZOLAMIDE,Maintenance
57706075423,100014,DIAMOX,Maintenance
60429003301,100014,ACETAZOLAMIDE,Maintenance
00527105001,100015,ACETAZOLAMIDE,Maintenance
10135056701,100015,ACETAZOLAMIDE,Maintenance
42291010310,100015,ACETAZOLAMIDE,Maintenance
42291010390,100015,ACETAZOLAMIDE,Maintenance
49999089212,100015,ACETAZOLAMIDE,Maintenance
51672402301,100015,ACETAZOLAMIDE,Maintenance
54868119500,100015,ACETAZOLAMIDE,Maintenance
54868119501,100015,ACETAZOLAMIDE,Maintenance
54868119502,100015,ACETAZOLAMIDE,Maintenance
54868119503,100015,ACETAZOLAMIDE,Maintenance
54868119504,100015,ACETAZOLAMIDE,Maintenance
55289022124,100015,ACETAZOLAMIDE,Maintenance
57706075523,100015,DIAMOX,Maintenance
57866300202,100015,ACETAZOLAMIDE,Maintenance
60429003401,100015,ACETAZOLAMIDE,Maintenance
68084054101,100015,ACETAZOLAMIDE,Maintenance
68084054111,100015,ACETAZOLAMIDE,Maintenance
00555051302,100016,ACETAZOLAMIDE,Maintenance
23155012001,100016,ACETAZOLAMIDE,Maintenance
29033003001,100016,ACETAZOLAMIDE,Maintenance
51285075402,100016,DIAMOX SEQUELS,Maintenance
68084040111,100016,ACETAZOLAMIDE,Maintenance
68084040121,100016,ACETAZOLAMIDE,Maintenance
68382026101,100016,ACETAZOLAMIDE,Maintenance
00378057201,100050,ALBUTEROL SULFATE,Maintenance
00378057205,100050,ALBUTEROL SULFATE,Maintenance
23490502501,100050,ALBUTEROL SULFATE,Maintenance
51079065801,100050,ALBUTEROL SULFATE,Maintenance
51079065820,100050,ALBUTEROL SULFATE,Maintenance
52959090620,100050,ALBUTEROL,Maintenance
53489017701,100050,ALBUTEROL SULFATE,Maintenance
53489017705,100050,ALBUTEROL SULFATE,Maintenance
54569287401,100050,ALBUTEROL SULFATE,Maintenance
54868030801,100050,PROVENTIL,Maintenance
54868107403,100050,ALBUTEROL SULFATE,Maintenance
54868107405,100050,ALBUTEROL SULFATE,Maintenance
54868107407,100050,ALBUTEROL SULFATE,Maintenance
55289004530,100050,ALBUTEROL SULFATE,Maintenance
58016060300,100050,ALBUTEROL SULFATE,Maintenance
58016060312,100050,ALBUTEROL SULFATE,Maintenance
58016060315,100050,ALBUTEROL SULFATE,Maintenance
58016060320,100050,ALBUTEROL SULFATE,Maintenance
58016060324,100050,ALBUTEROL SULFATE,Maintenance
58016060330,100050,ALBUTEROL SULFATE,Maintenance
