ndc,therClassCode,Inttherclass,therDesc,gcrTitles,genindDesc,roa,cyle,Active
"57894015012",1006010005,262,Abiraterone,Abiraterone Acetate,Single source brand,PO,,
"00597013730",1010100010,263,Afatinib,Afatinib Dimaleate,Single source brand,PO,,
"00597013830",1010100010,263,Afatinib,Afatinib Dimaleate,Single source brand,PO,,
"00597014130",1010100010,263,Afatinib,Afatinib Dimaleate,Single source brand,PO,,
"00054016413",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00093753656",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00310020130",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"00310020137",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"00378603405",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00378603477",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00781535631",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00904619546",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00904622961",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"12280034630",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"16571042103",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"16729003510",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"16729003515",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"16729003516",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"21695099030",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"33261095700",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"33261095730",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"33261095760",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"33261095790",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"35356027030",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"42043018003",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"42254016130",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"42291010530",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"51079032301",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"51079032306",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"51655063853",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
