"ProcedureName","ProcedureGroup","atg","acg","hcpcs","cpttitle"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","58150","TOTAL ABDOMINAL HYSTERECT W/WO RMVL TUBE OVARY"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","58152","TOT ABD HYST W/WO RMVL TUBE OVARY W/COLPURETHRXY"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","58180","SUPRACERVICAL ABDL HYSTER W/WO RMVL TUBE OVARY"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","58200","TOT ABD HYST W/PARAORTIC & PELVIC LYMPH NODE SAM"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","58210","RAD ABDL HYSTERECTOMY W/BI PELVIC LMPHADENECTOMY"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","58240","PEL EXNTJ GYNECOLOGIC MAL"
"Abdominal hysterectomy","0005","INPATIENT","OB/GYN","59525","STOT/TOT HYSTERECTOMY AFTER CESAREAN DELIVERY"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59840","INDUCED ABORTION DILATION AND CURETTAGE"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59841","INDUCED ABORTION DILATION & EVACUATION"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59850","INDUCED ABORTION 1/> AMNIOTIC INJX W/D&C/EVACJ"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59851","INDUCE ABORT 1/> AMNIOT NJXS DLVR FETUS D&C"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59852","INDUCE ABORT 1/> AMNIOT NJXS DLVR FETUS HYSTOTM"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59855","INDUCED ABORT 1/> VAG SUPPOSITORIES DLVR FETUS"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59856","INDUCED ABORT 1/> VAG SUPP DLVR FETUS D&C &/EVAC"
