MarketScanColNames,MarketScanTable,FAMedicalColNames,PopClassRequired,ROHRequired
CASEID,ccaef,admission_id,,
ENROLID,ccaef,NA,1,
FACHDID,ccaef,NA,1,
TSVCDAT,ccaef,end_date,1,1
ADMDATE,ccaei,admit_date,1,1
ADMTYP,ccaei,admit_type,1,1
CASEID,ccaei,admission_id,,1
DISDATE,ccaei,discharge_date,1,1
DXVER,ccaei,icd_flag,,1
ENROLID,ccaei,patient_id,1,1
PDXCAT,ccaei,dx_category1,1,1
SEQNUM,ccaei,record_identifier,,1
TOTPAY,ccaei,allow_pay,,1
AGE,ccaeo,age,1,
DX1,ccaeo,dx1,1,1
DX2,ccaeo,dx2,1,1
DX3,ccaeo,dx3,1,1
DX4,ccaeo,dx4,1,1
DXCAT,ccaeo,dx_cat,1,
DXVER,ccaeo,icd_flag,1,
ENROLID,ccaeo,patient_id,1,1
FACHDID,ccaeo,NA,1,
FACPROF,ccaeo,fac_prof,1,1
MSCLMID,ccaeo,claim_id,1,
PAY,ccaeo,pay,1,1
PROC1,ccaeo,proc_code,1,
PROCGRP,ccaeo,proc_group_cd,1,1
PROCTYP,ccaeo,proc_code_type,1,1
REVCODE,ccaeo,rev_code,1,1
SEQNUM,ccaeo,record_identifier,1,
SEX,ccaeo,sex,1,
STDPLAC,ccaeo,std_place,1,
STDPROV,ccaeo,std_prov,1,1
SVCDATE,ccaeo,svc_date,1,1
SVCSCAT,ccaeo,svc_cat,1,1
AGE,ccaes,age,1,
CASEID,ccaes,admission_id,,1
DX1,ccaes,dx1,1,1
DX2,ccaes,dx2,1,1
DX3,ccaes,dx3,1,1
DX4,ccaes,dx4,1,1
DXCAT,ccaes,dx_cat,1,
DXVER,ccaes,icd_flag,1,1
ENROLID,ccaes,patient_id,1,1
FACHDID,ccaes,NA,1,1
FACPROF,ccaes,fac_prof,1,1
MSCLMID,ccaes,claim_id,1,
PDDATE,ccaes,paid_date,,1
PROC1,ccaes,icd_proc1,1,
SEQNUM,ccaes,record_identifier,1,1
SEX,ccaes,sex,1,
STDPLAC,ccaes,std_place,1,
STDPROV,ccaes,std_prov,1,1
SVCDATE,ccaes,svc_date,1,1
SVCSCAT,ccaes,svc_cat,1,1
RB_FLAG,ccaef,rb_indicator,1,1
CLM_TYPE,ccaes,claim_type_cd,1,1
CLM_TYPE,ccaeo,claim_type_cd,1,1
MDC,ccaes,mdc_cd,1,1
MDC,ccaeo,mdc_cd,1,1
NA,none,ed_obs_flag,1,1
